Epoch,Train Loss,Val Dice,Val IoU,Val Recall,Val HD95,LR
1,0.5635897822827101,0.7206274033160539,0.6400870833818031,0.7073429236927676,15.018754796337566,9.872413245329151e-05
2,0.3695682769715786,0.7821795020221292,0.7131134554771723,0.6641275976740179,8.755732371605616,9.849801293945877e-05
3,0.33927124490588906,0.7940084247844089,0.7280534377064499,0.7195315304256621,7.03259985578706,9.845247780728382e-05
4,0.32028304701298477,0.7840547072999399,0.717920829149569,0.6701669591878142,7.966957597144606,9.849083904033291e-05
5,0.30718444342911244,0.7678508718755624,0.6962693850745222,0.6012057535320757,8.329115176634426,9.855227356668031e-05
6,0.30848822777718304,0.8361190729616691,0.7720550357294971,0.7455610740515921,4.595485847468023,9.828494734014132e-05
7,0.2939744000658393,0.8104224907372235,0.747848809107384,0.697237489301534,5.64939777822319,9.838818398158964e-05
8,0.2882616775780916,0.8370274124543143,0.7762770468408757,0.7242422637687663,4.79314990762183,9.828124044168429e-05
9,0.2835451075956225,0.8201866661918293,0.7560280479781909,0.6693110930010868,6.597864550181844,9.834932728010055e-05
10,0.2822334813773632,0.82193054226808,0.7582390064143436,0.740868032651229,5.635451217407657,9.834233960258588e-05
11,0.2757536050379276,0.6840182445921036,0.6163453369068634,0.5827473495451231,7.337497333026035,9.884998569050039e-05
12,0.2688415754064918,0.8419456310156319,0.7817569707062036,0.7412235935529073,4.6209548081740115,9.826110111304011e-05
13,0.2659532157555223,0.8132502826324536,0.7534262024112169,0.6506835801733865,5.165310752532962,9.837697755681521e-05
14,0.26192108170315626,0.7638216482955722,0.6911439239956493,0.743669121186175,9.580113786670177,9.856735452670162e-05
15,0.25951390459388496,0.822385389188565,0.7591609110959882,0.7656111568988612,4.864091104278821,9.834051465394305e-05
16,0.255126871407032,0.8293754347555694,0.7679065460013965,0.7613821678780137,4.379972858219717,9.831234489163343e-05
17,0.2529545838087797,0.852254545546997,0.796951889069591,0.7432513004021039,4.423665208767314,9.821851394217225e-05
18,0.24786913084983825,0.7917747379749784,0.7290851486088982,0.6458728630465292,6.318305014775082,9.846112759246477e-05
19,0.24658192710578442,0.8513336241131124,0.7968007479044513,0.7262988697648758,4.726375631388904,9.822233894069326e-05
20,0.24328603182733058,0.8402649243365777,0.7806606760976433,0.7488564008196431,4.997387805897542,9.826799630296866e-05
21,0.23736171658337116,0.845976129529022,0.7890839686114637,0.7599791271819009,4.555570354258534,9.824451095702733e-05
22,0.23871106627583505,0.8089515329860905,0.7530029190945645,0.6591015550352278,5.348843423771036,9.839399822904003e-05
23,0.23540572106838226,0.8272590958149306,0.7686304792264743,0.6672052381050196,5.948961717677456,9.832089829785915e-05
24,0.19973104136064648,0.7583255601599745,0.685509955563354,0.7219358903193285,8.629220586908966,9.858780032968684e-05
25,0.15702465393580498,0.7926856968384405,0.7315506620076432,0.6237724263753209,5.658813964844526,9.845760285371978e-05
26,0.1456262531481043,0.8319701028185731,0.777906712351198,0.7050734291237498,4.005029532817813,9.830182912611163e-05
27,0.14187124841995502,0.8473748823716527,0.7903321466393887,0.7110406183415935,4.074545858901905,9.823873539236581e-05
